"Params","coefs","2.5 %","97.5 %"
"ar.1","0.285","0.083","0.985"
"ar.log(pop)","0.962","0.924","1.001"
"ar.HDI_cat","4.25","0.848","21.3"
"ar.sindex_lag","1.014","0.968","1.062"
"ar.testing_lag","0.992","0.905","1.088"
"ar.vax_lag","0.997","0.994","1"
"ne.1","33.009","0","Inf"
"ne.HDI_cat","1510960.977","0","6.72686063295654e+110"
"ne.sindex_lag","0.738","0.066","8.243"
"ne.testing_lag","0","0","Inf"
"ne.vax_lag","1.182","0.992","1.409"
"end.1","2212.391","745.853","6562.518"
"neweights.d","24.753","-Inf","Inf"
"overdisp","0.636","0.583","0.689"
"","","",""
"AIC","19280.89","",""
"","","",""
"logs","rps","dss","ses"
"8.877","2746.936","15.854","45925251.409"
