Rank,Country/Region,Median age,Fertility rate,Life expectancy,Continent
132,Syrian Arab Republic,25.621,2.84,71.32,Asia
133,Bolivia (Plurinational State of),25.56,2.75,71.08,South America
134,Belize,25.482,2.32,74.37,North America
135,French Guiana,25.081,3.36,79.73,South America
136,Nepal,24.633,1.93,70.31,Asia
137,Egypt,24.606,3.33,71.74,Africa
138,Lao People's Democratic Republic,24.37,2.7,67.44,Asia
139,Micronesia (Fed. States of),24.362,3.08,67.7,Oceania
140,Honduras,24.344,2.49,74.99,North America
141,Botswana,24.044,2.89,69.1,Africa
142,Lesotho,24.01,3.16,53.51,Africa
143,Haiti,24.008,2.96,63.52,North America
144,Jordan,23.771,2.77,74.33,Asia
145,Kiribati,23.04,3.58,67.99,Oceania
146,Guatemala,22.881,2.9,73.94,North America
147,Pakistan,22.782,3.55,67.02,Asia
148,Gabon,22.511,4,66.06,Africa
149,Papua New Guinea,22.422,3.59,64.15,Oceania
150,Tajikistan,22.416,3.61,70.77,Asia
151,Tonga,22.415,3.58,70.74,Oceania
152,Equatorial Guinea,22.335,4.55,58.25,Africa
153,Samoa,21.835,3.9,73.11,Oceania
154,Namibia,21.832,3.42,63.02,Africa
155,Ghana,21.507,3.89,63.65,Africa
156,Vanuatu,21.112,3.8,70.25,Oceania
157,Iraq,21.04,3.68,70.37,Asia
158,Timor-Leste,20.795,4.1,69.15,Asia
159,State of Palestine,20.769,3.67,73.82,Asia
160,Eswatini,20.729,3.03,59.31,Africa
161,Comoros,20.37,4.24,63.98,Africa
162,Yemen,20.221,3.84,66.03,Asia
163,Kenya,20.119,3.52,66.18,Africa
164,Mauritania,20.114,4.59,64.61,Africa
165,Mayotte,20.073,3.73,79.35,Africa
166,Rwanda,20.039,4.1,68.44,Africa
167,Solomon Islands,19.889,4.44,72.77,Oceania
168,Sudan,19.659,4.43,64.95,Africa
169,Madagascar,19.568,4.11,66.49,Africa
170,Ethiopia,19.466,4.3,65.97,Africa
171,Liberia,19.411,4.35,63.6,Africa
172,Sierra Leone,19.402,4.32,54.07,Africa
173,Togo,19.35,4.35,60.53,Africa
174,Eritrea,19.209,4.1,65.74,Africa
175,Congo,19.204,4.45,64.16,Africa
176,South Sudan,19.04,4.74,57.43,Africa
177,Côte d'Ivoire,18.854,4.68,57.25,Africa
178,Guinea-Bissau,18.833,4.51,57.82,Africa
179,Benin,18.781,4.87,61.3,Africa
180,Cameroon,18.688,4.6,58.77,Africa
181,Zimbabwe,18.668,3.63,60.83,Africa
182,Sao Tome and Principe,18.612,4.35,70.05,Africa
183,Senegal,18.514,4.65,67.47,Africa
184,Afghanistan,18.438,4.56,64.28,Asia
185,Malawi,18.08,4.25,63.43,Africa
186,Nigeria,18.064,5.42,54.18,Africa
187,Guinea,18.02,4.74,61.04,Africa
188,United Republic of Tanzania,17.992,4.92,64.84,Africa
189,Gambia,17.844,5.25,61.54,Africa
190,Mozambique,17.62,4.89,60.05,Africa
191,Central African Republic,17.611,4.75,52.67,Africa
192,Zambia,17.592,4.66,63.26,Africa
193,Burkina Faso,17.551,5.23,60.92,Africa
194,Burundi,17.32,5.45,61.03,Africa
195,Democratic Republic of the Congo,16.988,5.96,60.21,Africa
196,Uganda,16.733,5.01,62.76,Africa
197,Somalia,16.683,6.12,56.94,Africa
198,Angola,16.677,5.55,60.54,Africa
199,Chad,16.554,5.8,53.8,Africa
200,Mali,16.347,5.92,58.71,Africa
201,Niger,15.151,6.95,61.8,Africa
,World,30.904,2.47,72.28,
